"year_month","CustomerID","recency","frequency","monetary","r_score","f_score","m_score"
"2010-12","12346","9999","0","0","1","1","1"
"2010-12","12347","23","1","711.79","4","4","5"
"2010-12","12348","14","1","892.8","5","4","5"
"2010-12","12349","9999","0","0","1","1","1"
"2010-12","12350","9999","0","0","1","1","1"
"2010-12","12352","9999","0","0","1","1","1"
"2010-12","12353","9999","0","0","1","1","1"
"2010-12","12354","9999","0","0","1","1","1"
"2010-12","12355","9999","0","0","1","1","1"
"2010-12","12356","9999","0","0","1","1","1"
"2010-12","12357","9999","0","0","1","1","1"
"2010-12","12358","9999","0","0","1","1","1"
"2010-12","12359","9999","0","0","1","1","1"
"2010-12","12360","9999","0","0","1","1","1"
"2010-12","12361","9999","0","0","1","1","1"
"2010-12","12362","9999","0","0","1","1","1"
"2010-12","12363","9999","0","0","1","1","1"
"2010-12","12364","9999","0","0","1","1","1"
"2010-12","12365","9999","0","0","1","1","1"
"2010-12","12367","9999","0","0","1","1","1"
"2010-12","12370","13","2","1868.02","5","5","5"
"2010-12","12371","9999","0","0","1","1","1"
"2010-12","12372","9999","0","0","1","1","1"
"2010-12","12373","9999","0","0","1","1","1"
"2010-12","12374","9999","0","0","1","1","1"
"2010-12","12375","9999","0","0","1","1","1"
"2010-12","12377","10","1","1001.52","5","4","5"
"2010-12","12378","9999","0","0","1","1","1"
"2010-12","12379","9999","0","0","1","1","1"
"2010-12","12380","9999","0","0","1","1","1"
"2010-12","12381","9999","0","0","1","1","1"
"2010-12","12383","8","1","600.72","5","4","5"
"2010-12","12384","9999","0","0","1","1","1"
"2010-12","12386","22","1","258.9","4","4","4"
"2010-12","12388","9999","0","0","1","1","1"
"2010-12","12390","9999","0","0","1","1","1"
"2010-12","12391","9999","0","0","1","1","1"
"2010-12","12393","9999","0","0","1","1","1"
"2010-12","12394","9999","0","0","1","1","1"
"2010-12","12395","13","2","679.92","5","5","5"
"2010-12","12397","9999","0","0","1","1","1"
"2010-12","12398","9999","0","0","1","1","1"
"2010-12","12399","9999","0","0","1","1","1"
"2010-12","12401","9999","0","0","1","1","1"
"2010-12","12402","9999","0","0","1","1","1"
"2010-12","12403","9999","0","0","1","1","1"
"2010-12","12405","9999","0","0","1","1","1"
"2010-12","12406","9999","0","0","1","1","1"
"2010-12","12407","9999","0","0","1","1","1"
"2010-12","12408","9999","0","0","1","1","1"
"2010-12","12409","9999","0","0","1","1","1"
"2010-12","12410","9999","0","0","1","1","1"
"2010-12","12412","9999","0","0","1","1","1"
"2010-12","12413","9999","0","0","1","1","1"
"2010-12","12414","9999","0","0","1","1","1"
"2010-12","12415","9999","0","0","1","1","1"
"2010-12","12417","13","1","291.34","5","4","4"
"2010-12","12418","9999","0","0","1","1","1"
"2010-12","12420","9999","0","0","1","1","1"
"2010-12","12421","9999","0","0","1","1","1"
"2010-12","12422","9999","0","0","1","1","1"
"2010-12","12423","9","1","237.93","5","4","4"
"2010-12","12424","9999","0","0","1","1","1"
"2010-12","12425","9999","0","0","1","1","1"
"2010-12","12426","9999","0","0","1","1","1"
"2010-12","12427","27","1","303.5","4","4","4"
"2010-12","12428","9999","0","0","1","1","1"
"2010-12","12429","21","1","1281.5","4","5","5"
"2010-12","12430","9999","0","0","1","1","1"
"2010-12","12431","13","2","773.95","5","5","5"
"2010-12","12432","9999","0","0","1","1","1"
"2010-12","12433","22","2","3787.12","4","5","5"
"2010-12","12434","9999","0","0","1","1","1"
"2010-12","12435","9999","0","0","1","1","1"
"2010-12","12436","9999","0","0","1","1","1"
"2010-12","12437","9999","0","0","1","1","1"
"2010-12","12438","9999","0","0","1","1","1"
"2010-12","12441","22","1","173.55","4","4","4"
"2010-12","12442","9999","0","0","1","1","1"
"2010-12","12444","9999","0","0","1","1","1"
"2010-12","12445","9999","0","0","1","1","1"
"2010-12","12446","9999","0","0","1","1","1"
